choiceCode,Regular_Item,Affect_Size,Item_Highlight,Item_Surcharge,Upsell_Item_1,Item_Highlight_1,Item_Surcharge_1,Size_Surcharge_1,Upsell_Item_2,Item_Highlight_2,Items_Surcharge_2,Size_Surcharge_2
Shared Meals 1st Burger Choice,100057,,Orange,.0,100057,,.0,,100057,,.0,
Shared Meals 1st Burger Choice,100500,,Orange,.0,100500,,.0,,100500,,.0,
Shared Meals 1st Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Shared Meals 1st Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Shared Meals 1st Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Shared Meals 1st Burger Choice,100088,,Orange,.0,100088,,.0,,100088,,.0,
Shared Meals 4th Side choice,136047,,Orange,.0,136047,,.0,,136047,,.0,
Shared Meals 4th Side choice,136045,,Orange,.0,136045,,.0,,136045,,.0,
Shared Meals 4th Side choice,136027,,Orange,.0,136027,,.0,,136027,,.0,
Shared Meals 4th Side choice,136015,,Orange,.0,136015,,.0,,136015,,.0,
Original Crispy BBQ Bacon Stacker® Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Original Crispy Bacon & Cheese Burger choice,100088,,Orange,.0,100088,,.0,,100088,,.0,
