Name,POSNumber,MenuItemUniqueID
Portion Chips,136008,7c475574-a0e3-49ec-aa2f-f73ada2c19a5
5 Large Sides,136009,cd2f5981-3f0f-4faf-9cc3-57c32e95f58e
Lg Chips,136010,22571445-3e85-42c2-9bdc-364c09c10743
Upsize Chips,136011,b8103aaa-a0ef-48a2-8b73-db7a027cdaf9
8 Large Sides,136012,0f8d0bb7-f236-47bf-96ff-a3c79518e021
12 Large Sides,136013,19c63e4a-d607-4275-9ea4-e6ac67bac726
18 Large Sides,136014,1d24711c-4234-43e5-a4c9-830d704db3db
Lg Chips,136015,247a90ef-d4cb-49c5-b4b7-1d5aea9b0f4c
Lg Chips,136016,02947a0e-b1f2-4909-b58e-d5bbf6e4e4db
Reg Chips,136017,c1842f21-2d7e-4acb-a0ef-6215081e4fb8
$1 Reg Chips,136018,a4070f75-c520-4e71-8eca-0f3a5281d12d
4 Large Chips,136019,d66507af-a6f7-4648-927c-94a96860ade3
Lg Chips,136020,982907be-7243-46b2-851a-6e01500346d0
Chips Blue Sc,136021,f1ca154a-97fe-4575-ab5c-de81b3138346
ADD Lg Chips,136022,495d5688-4f8b-4ad1-b321-5ef82825bb0a
2 Cup Chips,136023,b01f2236-e089-462c-a498-d53918e75d6b
Reg Pot/Gravy,136025,4ae2becd-e5e6-4f87-b699-a5f884d8d3c8
Gravy,136026,22f262c5-a0ae-452c-8170-75b0ab35f53c
Lg Pot/Gravy,136027,f749f20b-8fb8-46c6-832c-e0698893ec12
Lg Sw Pot Mash,136029,b23e9183-db19-4893-8e61-0b37b77f28d3
Hash Brown Cup,136030,59dfdc23-e8a8-4abf-bb6d-6911618db872
Reg Chips,136031,72c4356c-e2d5-41bd-b9c1-6dbadbfee82d
Waffle,136032,b9bb03f0-9c98-4952-b84f-a8319217c842
Waffle,136033,dbb77d45-57d4-420d-996c-652d685f3a36
Gravy,136034,76a27ce6-ab6e-4c0a-a4c8-bf81b9053540
Gravy 2x110g,136035,465a4d20-07a1-486a-a96c-b85ec34cd7d2
ADD Lg Pot/Grvy,136038,30fa30b3-ca3f-495f-badf-cfc0c165944e
Reg Coleslaw,136040,8a1c25b5-83aa-49df-88fa-a9abb52d08c4
1xCrunchy Slaw,136041,304ca7e2-6f9f-47a6-99b4-a2790f5af830
2xCrunchy Slaw,136042,3e799f75-bdb2-4234-909e-3b92132f4ffe
Lg Coleslaw,136045,1e2445ec-c7ed-45f0-97a9-999daa2f121f
Dinner Roll,136046,03519b6b-7fd1-4d9d-b9b2-a27da30ae284
