choiceCode,Regular_Item,Affect_Size,Item_Highlight,Item_Surcharge,Upsell_Item_1,Item_Highlight_1,Item_Surcharge_1,Size_Surcharge_1,Upsell_Item_2,Item_Highlight_2,Items_Surcharge_2,Size_Surcharge_2
Shared Meals 3rd Burger Choice,120008,,Orange,.0,120008,,.0,,120008,,.0,
Shared Meals 3rd Burger Choice,120009,,Orange,.0,120009,,.0,,120009,,.0,
Shared Meals 3rd Burger Choice,100068,,Orange,.0,100068,Orange,.0,,100068,Orange,.0,
Shared Meals 3rd Burger Choice,100500,,Orange,.0,100500,Orange,.0,,100500,Orange,.0,
Shared Meals 3rd Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Shared Meals 3rd Burger Choice,100057,,Orange,.0,100057,,.0,,100057,,.0,
Shared Meals 3rd Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Shared Meals 3rd Burger Choice,100057,,Orange,.0,100057,,.0,,100057,,.0,
Shared Meals 3rd Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Shared Meals 3rd Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Shared Meals 3rd Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Shared Meals 3rd Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Shared Meals 3rd Burger Choice,100088,,Orange,.0,100088,Orange,.0,,100088,Orange,.0,
Shared Meals 3rd Burger Choice,100050,,Orange,.0,100050,Orange,.0,,100050,Orange,.0,
Shared Meals 1.25L choice,141026,,Orange,.0,141026,Orange,.0,,141026,Orange,.0,
Shared Meals 1.25L choice,145169,,Orange,.0,145169,Orange,.0,,145169,Orange,.0,
Zinger® Crunch Bowl choice,136067,,Orange,.0,136067,Orange,.0,,136067,Orange,.0,
5 Original Tenders,183002,,Orange,.0,183002,Orange,.0,,183002,Orange,.0,
Zinger® Bacon & Cheese Burger choice,100501,,Orange,.0,100501,Orange,.0,,100501,Orange,.0,
Popcorn N Twister Choice,120016,,Orange,.0,120016,Orange,.0,,120016,Orange,.0,
Twister 2,120009,,Orange,.0,120009,Orange,.0,,120009,Orange,.0,
15 PC Choice,180033,,Orange,.0,180033,Orange,.0,,180033,Orange,.0,
18 Nuggets Choice,184005,,Orange,.0,184005,Orange,.0,,184005,Orange,.0,
Boxed 1st Sides,136040,,Orange,.0,136040,Orange,.0,,136040,Orange,.0,
Boxed 1st Sides,136046,,Orange,.0,136046,Orange,.0,,136046,Orange,.0,
Boxed 1st Sides,136026,,Orange,.0,136026,,.0,,136026,,.0,
Boxed 1st Sides,136025,,Orange,.0,136025,Orange,.0,,136025,Orange,.0,
Choco Mousse Choice,136050,,Orange,.0,136050,Orange,.0,,136050,Orange,.0,
Choco Mousse Choice,136056,,Orange,.0,136056,Orange,.0,,136056,Orange,.0,
Kids Meal Slider choices,120002,,Orange,.0,120002,,.0,,120002,,.0,
Kids Meal Slider choices,120003,,Orange,.0,120003,,.0,,120003,,.0,
Kids Meal Slider choices,120012,,Orange,.0,120012,,.0,,120012,,.0,
Kids Meal Slider choices,120002,,Orange,.0,120002,,.0,,120002,,.0,
Kids Meal Slider choices,120003,,Orange,.0,120003,,.0,,120003,,.0,
Kids Meal Slider choices,120012,,Orange,.0,120012,,.0,,120012,,.0,
Kids Meal Slider choices,120002,,Orange,.0,120002,,.0,,120002,,.0,
Kids Meal Slider choices,120003,,Orange,.0,120003,,.0,,120003,,.0,
Kids Meal Slider choices,120012,,Orange,.0,120012,,.0,,120012,,.0,
Triple Stacker Burger Choice,100262,,Orange,.0,100262,Orange,.0,,100262,Orange,.0,
20 Nuggets Choice,184017,,Orange,.0,184017,Orange,.0,,184017,Orange,.0,
TestBundleBurger Choice,100510,,Orange,.0,100510,Orange,.0,,100510,Orange,.0,
Original Tenders™ Crunch Bowl choice,136066,,Orange,.0,136066,Orange,.0,,136066,Orange,.0,
Shared Meals 3rd  Side choice,136047,,Orange,.0,136047,Orange,.0,,136047,Orange,.0,
Shared Meals 3rd  Side choice,136026,,Orange,.0,136026,Orange,.0,,136026,Orange,.0,
Combo Drinks,141070,,Orange,.0,141070,Orange,.0,,141070,Orange,.0,
Combo Drinks,141013,,Orange,.0,141013,Orange,.0,,141013,Orange,.0,
Combo Drinks,141076,,Orange,.0,141076,Orange,.0,,141076,Orange,.0,
Combo Drinks,141126,,Orange,.90,141126,Orange,.90,,141126,Orange,.90,
Boxed Meal - 1 Wicked Wing,181004,,Orange,.0,181004,Orange,.0,,181004,Orange,.0,
Boxed Chicken Choice - 1 PC Original,170101,,Orange,.0,170101,Orange,.0,,170101,Orange,.0,
Boxed Chicken Choice - 1 PC Original,182007,,Orange,.0,182007,Orange,.0,,182007,Orange,.0,
Boxed Chicken Choice - 1 PC Original,170703,,Orange,.0,170703,Orange,.0,,170703,Orange,.0,
Boxed Chicken Choice - 1 PC Original,170102,,Orange,.0,170102,Orange,.0,,170102,Orange,.0,
Boxed Chicken Choice - 1 PC Original,170601,,Orange,.50,170601,Orange,.50,,170601,Orange,.50,
Boxed Chicken Choice - 1 PC Original,182012,,Orange,1.35,182012,Orange,1.35,,182012,Orange,1.35,
Boxed Chicken Choice - 1 PC Original,170502,,Orange,1.35,170502,Orange,1.35,,170502,Orange,1.35,
Boxed Chicken Choice - 1 PC Original,185002,,Orange,.0,185002,Orange,.0,,185002,Orange,.0,
Boxed Chicken Choice - 1 PC Original,191013,,Orange,.0,191013,Orange,.0,,191013,Orange,.0,
Shared Meals 4th Burger Choice,120008,,Orange,.0,120008,,.0,,120008,,.0,
Shared Meals 4th Burger Choice,120009,,Orange,.0,120009,,.0,,120009,,.0,
Shared Meals 4th Burger Choice,120008,,Orange,.0,120008,,.0,,120008,,.0,
Shared Meals 4th Burger Choice,120009,,Orange,.0,120009,,.0,,120009,,.0,
Shared Meals 4th Burger Choice,100068,,Orange,.0,100068,Orange,.0,,100068,Orange,.0,
Shared Meals 4th Burger Choice,100500,,Orange,.0,100500,Orange,.0,,100500,Orange,.0,
Shared Meals 4th Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Shared Meals 4th Burger Choice,100057,,Orange,.0,100057,,.0,,100057,,.0,
Shared Meals 4th Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Shared Meals 4th Burger Choice,100057,,Orange,.0,100057,,.0,,100057,,.0,
Shared Meals 4th Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Shared Meals 4th Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Shared Meals 4th Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Shared Meals 4th Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Shared Meals 4th Burger Choice,100088,,Orange,.0,100088,Orange,.0,,100088,Orange,.0,
Shared Meals 4th Burger Choice,100050,,Orange,.0,100050,Orange,.0,,100050,Orange,.0,
Shared Meals 1st Burger Choice,120008,,Orange,.0,120008,,.0,,120008,,.0,
Shared Meals 1st Burger Choice,120009,,Orange,.0,120009,,.0,,120009,,.0,
Shared Meals 1st Burger Choice,120008,,Orange,.0,120008,,.0,,120008,,.0,
Shared Meals 1st Burger Choice,120009,,Orange,.0,120009,,.0,,120009,,.0,
Shared Meals 1st Burger Choice,100068,,Orange,.0,100068,Orange,.0,,100068,Orange,.0,
Shared Meals 1st Burger Choice,100500,,Orange,.0,100500,Orange,.0,,100500,Orange,.0,
Shared Meals 1st Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Shared Meals 1st Burger Choice,100057,,Orange,.0,100057,,.0,,100057,,.0,
Shared Meals 1st Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Shared Meals 1st Burger Choice,100057,,Orange,.0,100057,,.0,,100057,,.0,
Shared Meals 1st Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Shared Meals 1st Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Shared Meals 1st Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Shared Meals 1st Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Shared Meals 1st Burger Choice,100088,,Orange,.0,100088,Orange,.0,,100088,Orange,.0,
Shared Meals 1st Burger Choice,100050,,Orange,.0,100050,Orange,.0,,100050,Orange,.0,
Fillet PC,182000,,Orange,.0,182000,Orange,.0,,182000,Orange,.0,
Fillet PC,182005,,Orange,.0,182005,,.0,,182005,,.0,
Fillet PC,182002,,Orange,.0,182002,,.0,,182002,,.0,
Fillet PC,182005,,Orange,.0,182005,,.0,,182005,,.0,
Fillet PC,182002,,Orange,.0,182002,,.0,,182002,,.0,
Combo 1st Drinks choice,141070,,Orange,.0,141070,Orange,.0,,141070,Orange,.0,
Combo 1st Drinks choice,141013,,Orange,.0,141013,Orange,.0,,141013,Orange,.0,
Combo 1st Drinks choice,141076,,Orange,.0,141076,Orange,.0,,141076,Orange,.0,
Combo 1st Drinks choice,141126,,Orange,.90,141126,Orange,.90,,141126,Orange,.90,
Boxed Chicken Choice - 2 Hot & Crispy,185002,,Orange,.0,185002,Orange,.0,,185002,Orange,.0,
Boxed Chicken Choice - 2 Hot & Crispy,170502,,Orange,1.35,170502,Orange,1.35,,170502,Orange,1.35,
Boxed Chicken Choice - 2 Hot & Crispy,182012,,Orange,1.35,182012,Orange,1.35,,182012,Orange,1.35,
Boxed Chicken Choice - 2 Hot & Crispy,170601,,Orange,.50,170601,Orange,.50,,170601,Orange,.50,
Boxed Chicken Choice - 2 Hot & Crispy,170102,,Orange,.0,170102,Orange,.0,,170102,Orange,.0,
Boxed Chicken Choice - 2 Hot & Crispy,170703,,Orange,.0,170703,Orange,.0,,170703,Orange,.0,
Boxed Chicken Choice - 2 Hot & Crispy,182007,,Orange,.0,182007,Orange,.0,,182007,Orange,.0,
Boxed Chicken Choice - 2 Hot & Crispy,170101,,Orange,.0,170101,Orange,.0,,170101,Orange,.0,
Nugget Choices,184010,,Orange,.0,184010,,.0,,184010,,.0,
Nugget Choices,184002,,Orange,.0,184002,,.0,,184002,,.0,
Nugget Choices,184011,,Orange,.0,184011,,.0,,184011,,.0,
Nugget Choices,184010,,Orange,.0,184010,,.0,,184010,,.0,
Nugget Choices,184002,,Orange,.0,184002,,.0,,184002,,.0,
Nugget Choices,184011,,Orange,.0,184011,,.0,,184011,,.0,
Nugget Choices,184010,,Orange,.0,184010,,.0,,184010,,.0,
Nugget Choices,184002,,Orange,.0,184002,,.0,,184002,,.0,
Nugget Choices,184011,,Orange,.0,184011,,.0,,184011,,.0,
Combo 1st Burger Choice,120008,,Orange,.0,120008,,.0,,120008,,.0,
Combo 1st Burger Choice,120009,,Orange,.0,120009,,.0,,120009,,.0,
Combo 1st Burger Choice,120008,,Orange,.0,120008,,.0,,120008,,.0,
Combo 1st Burger Choice,120009,,Orange,.0,120009,,.0,,120009,,.0,
Combo 1st Burger Choice,100068,,Orange,.0,100068,Orange,.0,,100068,Orange,.0,
Combo 1st Burger Choice,100500,,Orange,.0,100500,Orange,.0,,100500,Orange,.0,
Combo 1st Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Combo 1st Burger Choice,100057,,Orange,.0,100057,,.0,,100057,,.0,
Combo 1st Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Combo 1st Burger Choice,100057,,Orange,.0,100057,,.0,,100057,,.0,
Combo 1st Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Combo 1st Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Combo 1st Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Combo 1st Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Combo 1st Burger Choice,100088,,Orange,.0,100088,Orange,.0,,100088,Orange,.0,
Combo 1st Burger Choice,100050,,Orange,.0,100050,Orange,.0,,100050,Orange,.0,
Kids Meal Nuggets,184006,,Orange,.0,184006,Orange,.0,,184006,Orange,.0,
Chips 1st Choice,136018,,Orange,.0,136018,Orange,.0,,136018,Orange,.0,
Combo 2nd Sides Choice,136040,,Orange,.0,136040,Orange,.0,,136040,Orange,.0,
Combo 2nd Sides Choice,136026,,Orange,.0,136026,Orange,.0,,136026,Orange,.0,
Combo 2nd Sides Choice,136046,,Orange,.0,136046,Orange,.0,,136046,Orange,.0,
Shared Meals 4th Side choice,136047,,Orange,.0,136047,Orange,.0,,136047,Orange,.0,
Shared Meals 4th Side choice,136026,,Orange,.0,136026,Orange,.0,,136026,Orange,.0,
Shared Meals 4th Side choice,136035,,Orange,.0,136035,Orange,.0,,136035,Orange,.0,
2 PC choice,180052,,Orange,.0,180052,Orange,.0,,180052,Orange,.0,
Original Crispy BBQ Bacon Stacker® Burger Choice,100502,,Orange,.0,100502,Orange,.0,,100502,Orange,.0,
Original Crispy Bacon & Cheese Burger choice,100088,,Orange,.0,100088,Orange,.0,,100088,Orange,.0,
Boxed Chicken Choice - 1 PC Original Tender,185002,,Orange,.0,185002,Orange,.0,,185002,Orange,.0,
Boxed Chicken Choice - 1 PC Original Tender,170502,,Orange,1.35,170502,Orange,1.35,,170502,Orange,1.35,
Boxed Chicken Choice - 1 PC Original Tender,182012,,Orange,1.35,182012,Orange,1.35,,182012,Orange,1.35,
Boxed Chicken Choice - 1 PC Original Tender,170601,,Orange,.50,170601,Orange,.50,,170601,Orange,.50,
Boxed Chicken Choice - 1 PC Original Tender,170102,,Orange,.0,170102,Orange,.0,,170102,Orange,.0,
Boxed Chicken Choice - 1 PC Original Tender,170703,,Orange,.0,170703,Orange,.0,,170703,Orange,.0,
