PromotionID,Combo_Name,PromotionUniqueID
7007,TWO SLIDERS,85c318a2-72a7-4a06-b327-562e45d2b42f
9060,ZINGER POP CMB,c1732597-2ab0-41de-ae5b-4d114cfbab83
8001,SUMMER FEAST,3d11b554-16e5-41b3-8f6f-37e563dee97e
10000,Chicken & Chips 20+,934603ae-26e1-4403-b906-4866b57187e0
4106,ORIG CRISPY BOX u,d0aee997-4211-4003-8596-7b123971f49d
1121,! KIDS POPCORN u,345952a3-6cf5-4fae-b1af-4a6f383c3438
4016,STACK CHEESY Z  BOX,1125c39d-2926-432b-8ab6-e62c32eb64dc
9064,BONELESS STACKED PK,5478527b-eb3d-4062-b662-6b623fd76ea2
7122,LOADED CHIPS ft  POP,ada89ab1-8c0c-47ee-a37b-c603a1d2bc45
9040,SUPCH LOADED BOWL,e82e16ab-b87b-4778-b812-2b73382c7903
1002,ZINGER CMB,ed3658c7-fbe2-4448-8e7e-379819b5cc64
9039,CHEESY LOADED BOWL,93e0a327-72d1-42d7-8a1c-a1d079740d28
8037,MEGA BURGER FEAST,3c196af2-6a88-4dd5-b811-adcc2a84c13c
8105,VALUE FEAST,0361d228-5437-4330-bfe0-8a64de59e760
1115,! 3 PC H&C CMB u,7964e2e7-2f64-4bdc-9b9b-d39039dac5a5
1026,3 PC H&C CMB,669137d5-e813-4306-91db-27d44319cf86
1031,KIDS SLIDER,19da0a78-4955-4399-863e-062b147b0848
1046,TRIPLE STK BRG CMB,cc10365e-4236-4ea2-89a3-4350114b927a
9071,ZINGER H&C CMB,566c9dfa-e5f7-4c82-bc02-4c73a6b413bc
7020,BUCKET FOR ONE,5da58d2a-3d57-4be2-802b-de44639e759e
9054,GO NUG BUCK GRAVY r,ab6f66f0-63c4-484a-9717-ae020cc34556
1103,! ZINGER STACKER C u,4daf4a44-357d-4f64-8319-b98c1532a01a
1059,POP CRNCH BOWL CMB,96a53d23-e907-4504-9c6d-328e23e30268
1009,ZINGER TWIST CMB,a491c4be-2f20-44f6-a05a-2a23a57edcc4
9015,DOUBLE CMB,22305ed5-3c26-4625-97f8-e1a859c8f1dc
1015,MAXI POPCORN CMB,7fa2f6c5-d2c2-4d84-8e2d-b9fcdc078a8f
4007,BRG ZNG CRUNCH BOX,ad94cbef-d6a2-4fc0-adf3-36826d479a53
4102,ZNG STACKER BOX u,338f5b2b-c945-4951-b425-ec21348b5207
9038,COOKIE & CHOC,8081c5a9-d815-4ebc-93f6-cab97957c18b
9055,$9.95 WICKED DBL ML,18366eb7-6193-4eb9-bcf4-8e6d76376521
7016,WICKED WINGS FST,3e5ec596-8a0d-4c54-9963-fe15cc5e77aa
1038,KIDS POPCORN,9ff16e50-f377-49ed-bd12-25f80a89ba17
9020,$11 DBL TEND MATE PK,aec2bce1-0278-4a61-8f89-aade177b1baf
8008,DINNER BOX 10PC,6ffffbc7-ef82-4ced-9420-dc15d0df0575
7015,6 WING R/CHIP,b029de60-5b7d-44ff-8491-5f35fcacaa7f
1023,10 WING CMB,4a49fecd-b6c9-4ce3-801c-d851f24c95e9
6000,Ckn 2SideDrink Box,2a6581e4-974a-49b5-896c-d3766047568e
9516,! LE Add on Drinks,53d428c5-0af7-45c3-86da-48f0d8ba9dd1
3002,10 NUGGET CMB,9321290a-4965-4b8e-9de4-0b67b1fe909b
7100,*******************,5cf543b3-734b-4840-91f0-95edda44e839
8050,BONELESS DINNER,287f458c-5745-4bd3-8593-09b3dd80522a
1021,SNK POPCORN CMB,987ebb02-9b46-4dc4-9fa3-53795d012912
1028,1 PC CMB,882861ee-8706-4892-bf2f-bc92e1c3e2df
1109,! REG POPCORN CMB u,e2f18983-7c0b-497b-a202-bc4423ed054f
1063,! ZINGER CMB u,f273675e-8425-4544-8e5e-147f7cee9afc
9045,OC BURG TENDER CMB r,e222e661-c79b-4fa1-948d-7a6cc85a82cd
9066,$15 KENT FEASTER,3449eed5-bd6e-4cce-b4ec-05c10096f917
