Name,POSNumber,MenuItemUniqueID
Lg Pepsi,141010,c8162315-6a83-4392-9e87-c457cf05aa24
1.25L Pepsi,141011,333fc229-f882-49ef-8264-66669a2b7673
Up Chp/Drink,141012,5b034210-b4e8-4152-84e0-ef55e7a6df5e
Sparkling Water,141013,a5001b2c-2d41-4489-8445-e9554d5206dc
1.25L Pepsi,141014,3e4c24ca-5f22-4815-9087-f3a4ddf9b726
Reg Sunkist,141015,d4e5931a-af8c-45c1-9532-cea34abcce1c
Lg Sunkist,141016,59834a0b-45f6-46c7-838f-174c8480aa06
1.25L Sunkist,141017,48208e41-b71d-45a3-b24e-d1b98495426d
NO DRINK,141018,4976dbee-0bc5-4165-a9c7-9f1b4f50a416
1.25L Pepsi,141019,405499e6-f880-49c0-8e0f-370bf4c5dc13
Reg Mt Dew,141020,060e8830-91bf-4842-926f-8777f132af19
Lg Pepsi,141021,41ea2a01-619d-4dd4-802c-8717e61df402
NO LG DRINK,141022,9348b4d3-1912-4a65-ac61-86894b1fb419
2 Drinks,141023,1e9de590-761e-4d90-bb39-ca2ed40a5d91
1.25L MtDew,141024,c904caa5-15cc-4f45-a7c0-598e8bc8bb35
Lg Mt Dew,141025,46150c2d-f6a9-4941-a1d9-89ad6a420e0b
1.25L Mt Dew,141026,54ed91db-cc1b-4f3b-9cc8-d0db326df8ea
1.25L MtDew,141027,4f54f671-2f5b-4bb1-8bea-d092e6a64c30
1.25L SunZ,141028,1745da28-6900-46f0-b344-63e9eaac9ada
1.25L 7Up,141029,ab7cefdd-0fab-4fdd-b15c-639dee218015
Reg Solo,141030,5f247e7b-0c0e-4245-9737-41145be9be71
Lg Solo,141031,ae6fc857-f10e-4da2-94a1-583a03a1d0f7
1.25L Solo,141032,42b1c068-3e62-41bd-add1-1b25badd738c
1.25L Solo,141033,acceccb9-b210-4ddc-a6fb-d86dd05d99b2
Lg Solo,141034,ccd883dc-1f10-4cc7-9230-7446ef123d74
Reg Sunkist,141035,3aca7c12-f9bc-4a2b-baa1-7f333b81fbcc
1.25L Sunkist,141036,1fe8cee9-a518-4d2f-90ae-3c3286730139
Lg Sunkist,141037,23ae19b6-7107-485e-a5c4-8ee86acff75f
1.25L SunZ,141038,079715f5-d04b-48d0-8ea8-7d632841e8c8
1.25L Solo,141039,f358a6d1-f3ae-482c-84e7-6396228920d0
Reg 7Up,141040,82963539-891f-4df3-b56d-fd305f00e3cb
Lg 7Up,141043,33e2c20b-b44d-4312-a0c6-baf56f04c7e2
1.25L 7Up,141044,c2f465ea-95d6-49bb-916a-6a9ba18c3f45
1.25L 7Up,141046,7da160e4-6735-4c5e-a0c0-8379e8d7df6f
Reg Pepsi Max,141047,51ba9f0d-d279-4885-96d9-002dee9cb228
Reg Pepsi,141048,b3958a82-4db6-4202-a689-af703abfc473
Reg 7Up,141049,143274da-9cae-46e1-8288-c533ae2b902b
Reg Mt Dew,141050,f85ec684-b4b4-45ac-ad6d-55a6323bd27d
Reg Solo,141051,35959837-5d7a-4110-9f90-75518314f30a
Reg Sunkist,141052,21cf82ca-1baa-4cf8-b6ab-ebff7018a8d1
Reg Sunkist,141053,cc61abb0-d79b-469b-a8be-cf3e525f830e
Sparkling Water,141054,c698bce5-c67f-4d61-849e-6a310107809b
Reg Pepsi Max,141055,81751e07-2921-445d-af98-89b0cd5d46c4
Lg Pepsi Max,141060,a4967c4a-9664-4cd8-86d3-4bafc028b493
1.25L Pepsi Max,141061,c4c8e9be-6813-4058-a08f-3767cbdd523c
1.25L Pepsi Max,141062,3bdb3d21-fbed-4065-a2b0-60c55109f36c
1.25L Pepsi,141063,5991c45a-3334-47db-b455-b348a283bd64
1.25L 7Up,141064,1f0baaef-20e1-4e8f-a9ad-8d71333e383c
1.25L Mt Dew,141065,a1177d69-7817-42a2-bc74-95352b93bf77
1.25L Solo,141066,97a6a16f-9b61-49d7-b1be-567e6aa82c80
1.25L Sunkist,141067,5b7645ee-e3b7-4ea8-943b-a1ba5f7043ab
1.25L Max,141068,efe47a69-ef6c-4098-af53-3126a9be8eea
1.25L Pepsi Max,141069,cbc843a6-3ae5-4446-a917-36d5753e1bab
Water 600mL,141070,36cf404a-8e0a-4417-9e8f-b699a66008ae
Water 600mL,141071,3b199b41-aef9-461e-a11f-cdaeb8859794
1.25L Sunkist,141072,09541e2e-1748-4115-8194-3b8d4688d8a1
Lg Pep Max,141073,37394a21-bd62-4a48-b567-e8a0f94bd370
Orange Juice,141075,c7020584-d53a-4700-a6a4-1c8e8a5fd443
Apple Juice,141076,008a75b5-6173-40c3-83f1-152f9e65d8b2
